log_file,target_layer_idx,runtime_sec,acc
log_docvqa,0,1771,4.0
log_docvqa,3,569,1.7
log_docvqa,4,494,1.8
log_docvqa,5,1350,2.0
log_docvqa,6,282,0.1
log_docvqa,7,542,1.3
log_docvqa,8,224,0.2
log_docvqa,9,1127,3.4
log_docvqa,10,614,0.4
log_docvqa,11,251,0.4
log_docvqa,12,500,7.5
log_docvqa,13,639,2.4
log_docvqa,14,591,3.1
log_docvqa,15,341,3.0
log_docvqa,16,605,4.3
log_docvqa,17,572,11.5
log_docvqa,18,447,6.3
log_docvqa,19,2735,9.3
log_docvqa,20,1861,14.4
log_docvqa,21,786,12.3
log_docvqa,22,684,21.0
log_docvqa,23,649,22.3
log_docvqa,24,534,20.8
log_docvqa,25,524,22.8
log_docvqa,26,1229,22.0
log_docvqa,27,615,22.8
log_docvqa,28,86,21.2
log_docvqa,29,687,23.1
log_docvqa,30,1604,20.4
log_docvqa,31,3050,22.2
log_vizwiz,0,543,11.207834602829163
log_vizwiz,3,530,2.6115342763873777
log_vizwiz,4,457,2.067464635473341
log_vizwiz,5,323,11.643090315560391
log_vizwiz,6,217,0.8705114254624592
log_vizwiz,7,481,15.342763873775842
log_vizwiz,8,167,0.0
log_vizwiz,9,1845,15.342763873775842
log_vizwiz,10,544,10.44613710554951
log_vizwiz,11,213,0.9793253536452666
log_vizwiz,12,284,27.20348204570185
log_vizwiz,13,549,15.560391730141458
log_vizwiz,14,540,14.472252448313384
log_vizwiz,15,254,14.363438520130577
log_vizwiz,16,543,17.08378672470076
log_vizwiz,17,270,39.7170837867247
log_vizwiz,18,476,27.856365614798694
log_vizwiz,19,1470,41.78454842219804
log_vizwiz,20,349,47.0076169749728
log_vizwiz,21,945,44.069640914036995
log_vizwiz,22,484,53.86289445048966
log_vizwiz,23,650,51.36017410228509
log_vizwiz,24,335,54.08052230685528
log_vizwiz,25,444,58.10663764961915
log_vizwiz,26,712,53.75408052230686
log_vizwiz,27,707,58.21545157780196
log_vizwiz,28,3505,55.27747551686616
log_vizwiz,29,685,55.60391730141458
log_vizwiz,30,1571,54.4069640914037
log_vizwiz,31,1738,53.53645266594124
log_textvqa,0,661,6.6
log_textvqa,3,568,3.2
log_textvqa,4,487,3.4
log_textvqa,5,754,8.0
log_textvqa,6,219,0.3
log_textvqa,7,321,4.2
log_textvqa,8,153,0.8
log_textvqa,9,807,5.5
log_textvqa,10,617,1.7
log_textvqa,11,210,0.9
log_textvqa,12,470,9.6
log_textvqa,13,621,8.9
log_textvqa,14,625,8.8
log_textvqa,15,382,8.0
log_textvqa,16,600,7.5
log_textvqa,17,321,28.3
log_textvqa,18,495,18.5
log_textvqa,19,1466,26.2
log_textvqa,20,412,39.8
log_textvqa,21,648,31.0
log_textvqa,22,359,51.2
log_textvqa,23,364,50.5
log_textvqa,24,285,54.3
log_textvqa,25,343,54.1
log_textvqa,26,516,55.1
log_textvqa,27,1474,55.2
log_textvqa,28,2620,53.4
log_textvqa,29,383,57.2
log_textvqa,30,1112,53.2
log_textvqa,31,1327,55.5
log_okvqa,0,305,3.74
log_okvqa,3,566,0.0
log_okvqa,4,487,0.0
log_okvqa,5,369,0.12
log_okvqa,6,214,0.1
log_okvqa,7,546,0.64
log_okvqa,8,152,0.0
log_okvqa,9,1488,3.08
log_okvqa,10,815,0.06
log_okvqa,11,228,0.0
log_okvqa,12,762,0.1
log_okvqa,13,957,0.0
log_okvqa,14,851,0.42
log_okvqa,15,434,0.0
log_gqa,0,218,27.4
log_gqa,3,561,0.0
log_gqa,4,481,0.0
log_gqa,5,356,16.9
log_gqa,6,211,2.5
log_gqa,7,299,18.3
log_gqa,8,149,0.0
log_gqa,9,357,20.4
log_gqa,10,728,12.0
log_gqa,11,241,0.0
log_gqa,12,917,34.4
log_gqa,13,759,23.1
log_gqa,14,952,26.2
log_vqav2,0,325,33.59
log_vqav2,3,527,0.0
log_vqav2,4,477,0.4
log_vqav2,5,216,26.97
log_vqav2,6,244,1.29
log_vqav2,7,268,31.29
log_vqav2,8,154,0.0
log_vqav2,9,457,30.0
log_vqav2,10,547,24.59
log_vqav2,11,263,0.29
log_vqav2,12,453,6.54
log_vqav2,13,548,3.28
log_vqav2,14,540,32.76
log_vqav2,15,296,21.71
log_vqav2,16,548,0.1
log_vqav2,17,206,66.69
log_vqav2,18,205,63.11
log_vqav2,19,438,60.3
log_vqav2,20,203,70.95
log_vqav2,21,199,66.81
log_vqav2,22,201,74.76
log_vqav2,23,204,74.62
log_vqav2,24,200,75.14
log_vqav2,25,203,75.58
log_vqav2,26,233,76.52
log_vqav2,27,200,74.7
log_vqav2,28,258,71.0
log_vqav2,29,227,75.31
log_vqav2,30,212,72.78
log_vqav2,31,216,73.76
